Rank,ParamountInteration,InterationTime,AccumulatedTime
0,1,0.130825,0.130825
0,2,0.131467,0.262292
0,3,0.132195,0.394487
0,4,0.132352,0.526839
0,5,0.132681,0.659520
0,6,0.133088,0.792608
0,7,0.133930,0.926538
0,8,0.132978,1.059516
0,9,0.133171,1.192687
0,10,0.133714,1.326401
0,11,0.134155,1.460556
0,12,0.321195,1.781751
0,13,0.136523,1.918274
0,14,0.135907,2.054181
0,15,0.136008,2.190189
0,16,0.136040,2.326229
0,17,0.136461,2.462690
0,18,0.137272,2.599962
0,19,0.136389,2.736351
0,20,0.137337,2.873688
0,21,0.136946,3.010634
0,22,0.137245,3.147879
0,23,0.325800,3.473679
0,24,0.136990,3.610669
0,25,0.137826,3.748495
0,26,0.137479,3.885974
0,27,0.137427,4.023401
0,28,0.137672,4.161073
0,29,0.137877,4.298950
0,30,0.137898,4.436848
0,31,0.137744,4.574592
0,32,0.137358,4.711950
0,33,0.328530,5.040480
0,34,0.137714,5.178194
0,35,0.137958,5.316152
0,36,0.138227,5.454379
0,37,0.138146,5.592525
0,38,0.137751,5.730276
0,39,0.138347,5.868623
0,40,0.138268,6.006891
0,41,0.137933,6.144825
0,42,0.137674,6.282499
0,43,0.329935,6.612434
0,44,0.138647,6.751081
0,45,0.138715,6.889796
0,46,0.138547,7.028342
0,47,0.138448,7.166790
0,48,0.138663,7.305454
0,49,0.138780,7.444233
0,50,0.193661,7.637894
0,51,0.138600,7.776495
0,52,0.139330,7.915825
0,53,0.332452,8.248277
0,54,0.139194,8.387471
0,55,0.139935,8.527406
0,56,0.140170,8.667576
0,57,0.139491,8.807066
0,58,0.139753,8.946820
0,59,0.139706,9.086525
0,60,0.139964,9.226490
0,61,0.140348,9.366838
0,62,0.139972,9.506809
0,63,0.333929,9.840739
0,64,0.140268,9.981006
0,65,0.140256,10.121262
0,66,0.140251,10.261513
0,67,0.139998,10.401511
0,68,0.140455,10.541966
0,69,0.140454,10.682420
0,70,0.140269,10.822690
0,71,0.140435,10.963125
0,72,0.140657,11.103781
0,73,0.335940,11.439722
0,74,0.140575,11.580297
0,75,0.140907,11.721204
0,76,0.140980,11.862184
0,77,0.140956,12.003139
0,78,0.140767,12.143907
0,79,0.141028,12.284935
0,80,0.141831,12.426765
0,81,0.141249,12.568014
0,82,0.141738,12.709752
0,83,0.141766,12.851518
0,84,0.337828,13.189346
0,85,0.141701,13.331047
0,86,0.141862,13.472909
0,87,0.142168,13.615077
0,88,0.141811,13.756888
0,89,0.141733,13.898621
0,90,0.141976,14.040597
0,91,0.142181,14.182778
0,92,0.142327,14.325105
0,93,0.142171,14.467276
0,94,0.340297,14.807573
0,95,0.142019,14.949592
0,96,0.142700,15.092292
0,97,0.142427,15.234719
0,98,0.142427,15.377146
0,99,0.142548,15.519694
0,100,0.199108,15.718802
0,100,0.199108,15.718802
