Rank,ParamountInteration,InterationTime,AccumulatedTime
0,1,0.064809,0.064809
0,2,0.064288,0.129097
0,3,0.063471,0.192568
0,4,0.063542,0.256110
0,5,0.063823,0.319933
0,6,0.063862,0.383795
0,7,0.063979,0.447774
0,8,0.064017,0.511791
0,9,0.064325,0.576116
0,10,0.064081,0.640197
0,11,0.064684,0.704881
0,12,0.159398,0.864279
0,13,0.065566,0.929845
0,14,0.065507,0.995352
0,15,0.065463,1.060815
0,16,0.065606,1.126421
0,17,0.065649,1.192070
0,18,0.065853,1.257923
0,19,0.065967,1.323890
0,20,0.065848,1.389738
